adresse_id,numero_rue,nom_rue,code_ville,nom_ville
1,71,Rue René Cassin,78300,POISSY
2,23,Rue de la Marne,69100,VILLEURBANNE
3,91,Rue des Glycines,71870,MACON
4,30,Rue Georges Clemenceau,59300,VALENCIENNES
5,61,Rue du Président Wilson,94120,FONTENAY-SOUS-BOIS
6,120,Rue Pasteur,49000,ANGERS
7,113,Rue de la Solidarité,93100,MONTREUIL
8,72,Rue des Bouleaux,77000,MELUN
9,76,Rue Victor Hugo,72100,LE MANS
10,24,Rue Jean Jaurès,64000,PAU
11,69,Rue des Myosotis,49280,CHOLET
12,87,Rue Georges Clemenceau,75011,PARIS
13,10,Avenue Charles de Gaulle,75015,PARIS
14,118,Rue Saint-Jean,92000,NANTERRE
15,61,Rue du Général de Gaulle,92700,COLOMBES
16,90,Rue du Moulin,94120,FONTENAY-SOUS-BOIS
17,50,Rue Clémenceau,75012,PARIS
18,63,Rue Saint-Martin,78180,MONTIGNY-LE-BRETONNEUX
19,24,Rue de la Liberté,69300,CALUIRE-ET-CUIRE
20,71,Avenue de la Liberté,92220,BAGNEUX
21,53,Rue des Fleurs,97300,CAYENNE
22,24,Rue du Pont,72000,LE MANS
23,94,Rue des Écoles,13008,MARSEILLE
24,27,Rue des Acacias,78100,SAINT-GERMAIN-EN-LAYE
25,100,Rue Anatole France,92100,BOULOGNE-BILLANCOURT
26,106,Rue Marcel Pagnol,75013,PARIS
27,106,Rue des Pins,59400,CAMBRAI
28,77,Rue de l'Abbé Pierre,78000,VERSAILLES
29,108,Rue de la Fraternité,69001,LYON
30,36,Rue Aristide Briand,69300,CALUIRE-ET-CUIRE
31,84,Rue Victor Hugo,8090,CHARLEVILLE-MEZIERES
32,84,Rue des Vignes,11000,CARCASSONNE
33,121,Rue des Peupliers,31200,TOULOUSE
34,9,Rue de l'Avenir,63100,CLERMONT-FERRAND
35,9,Rue Pasteur,66100,PERPIGNAN
36,73,Rue du Moulin,76200,DIEPPE
37,62,Avenue de la République,13015,MARSEILLE
38,122,Rue de la République,10000,TROYES
39,34,Rue des Lilas,88000,EPINAL
40,69,Rue de la Chapelle,93700,DRANCY
41,116,Rue des Peupliers,75004,PARIS
42,53,Rue des Peupliers,14000,CAEN
43,26,Rue de la Mairie,86100,CHATELLERAULT
44,46,Rue des Tulipes,37100,TOURS
45,28,Avenue de Verdun,13010,MARSEILLE
46,19,Rue des Lilas,83140,SIX-FOURS-LES-PLAGES
47,51,Rue de Verdun,6200,NICE
48,14,Rue du 11 Novembre,75010,PARIS
49,48,Rue du Marché,76610,LE HAVRE
50,36,Rue Gambetta,92500,RUEIL-MALMAISON
51,104,Rue du Général de Gaulle,6200,NICE
52,46,Rue de la Paix,83500,LA SEYNE-SUR-MER
53,38,Rue du Général de Gaulle,13009,MARSEILLE
54,13,Rue du Général de Gaulle,21100,DIJON
55,108,Rue Saint-Jean,49000,ANGERS
56,108,Rue des Lilas,92500,RUEIL-MALMAISON
57,81,Rue du Commerce,91600,SAVIGNY-SUR-ORGE
58,12,Rue des Fleurs,85000,LA ROCHE-SUR-YON
59,109,Rue de la Fraternité,91300,MASSY
60,53,Rue Jean Jaurès,75020,PARIS
61,44,Rue des Fleurs,75001,PARIS
62,127,Rue de la République,93700,DRANCY
63,91,Rue du Port,93150,LE BLANC-MESNIL
64,24,Rue des Peupliers,75018,PARIS
65,32,Rue Émile Zola,92150,SURESNES
66,54,Rue du Calvaire,87100,LIMOGES
67,5,Rue des Bouleaux,14000,CAEN
68,5,Rue du Calvaire,92320,CHATILLON
69,36,Rue des Prés,67100,STRASBOURG
70,11,Rue Pasteur,92600,ASNIERES-SUR-SEINE
71,118,Rue de la Croix,75007,PARIS
72,82,Rue de la Garenne,72100,LE MANS
73,115,Rue du Président Wilson,92130,ISSY-LES-MOULINEAUX
74,89,Rue du Général de Gaulle,92200,NEUILLY-SUR-SEINE
75,120,Rue René Cassin,65000,TARBES
76,40,Rue Pasteur,13002,MARSEILLE
77,78,Rue Saint-Martin,67100,STRASBOURG
78,12,Rue André Malraux,34000,MONTPELLIER
79,29,Rue de la Liberté,6000,NICE
80,116,Rue René Cassin,76610,LE HAVRE
81,84,Rue des Pâquerettes,92800,PUTEAUX
82,87,Rue du Pont,49280,CHOLET
83,110,Rue du Belvédère,75007,PARIS
84,90,Rue des Lilas,31100,TOULOUSE
85,21,Rue du Poirier,64000,PAU
86,45,Rue du Belvédère,78180,MONTIGNY-LE-BRETONNEUX
87,59,Rue des Jardins,14000,CAEN
88,33,Rue de l'Abbé Pierre,42100,SAINT-ETIENNE
89,4,Rue de la Garenne,33800,BORDEAUX
