code_client,prenom,nom,date_naissance,adresse_id
LQ6772634,Louna,Lacroix,2000-07-31,1
FV8108828,Emma,Morin,1977-01-05,1
LL9385575,Ayden,Bonnet,1996-04-29,2
PA9995235,Emma,Mathieu,1984-05-21,2
KY4714649,Nino,Andre,2011-12-16,2
YT0549642,Alma,Perrin,2000-09-18,2
CM6915224,Victor,Lacroix,1978-08-16,2
HD3846922,Paul,Martin,1968-07-06,2
MV4381994,Mya,Bonnet,1960-11-06,3
CK3544746,Eliott,David,2004-11-11,3
MJ5083835,Mia,Philippe,1997-03-24,3
FL7198398,Ethan,Bourgeois,2015-02-13,3
AC2446509,Noah,Vidal,2007-11-02,4
HY2254994,Emma,Gautier,1991-06-18,4
CM0741834,Isaac,Morel,2008-12-16,4
PV2125082,Aaron,Garnier,1988-01-04,4
DC6749715,Tom,Bourgeois,2005-04-27,5
QN1836692,Nathan,Dubois,2003-02-23,5
JI6286588,Mya,Richard,1977-07-22,5
TY7677476,Milo,Dumas,1979-12-06,6
ZH1408676,Giulia,Garcia,1964-03-03,6
YX3338054,Enzo,Bertrand,1995-05-20,7
NP8111546,Romy,Andre,1990-10-21,7
CB4664893,Louise,Leroy,2016-09-08,7
AD4084036,Isaac,Girard,1969-12-30,7
IB8982662,Isaac,Thomas,2003-07-07,8
SW0472529,Milo,Roger,1982-12-13,8
AO8142374,Malo,Lucas,1975-09-28,8
CY4174457,Luna,Blanc,1989-04-26,9
SP9073814,Axel,Duval,1998-09-06,9
SD1009656,Elena,Laurent,1973-01-10,9
GR7861131,Giulia,Bernard,2001-01-21,9
RT7536242,Jeanne,Vidal,1979-06-29,9
MG1854753,Ibrahim,Durand,1979-05-19,9
XK1009946,Isaac,Brun,1987-01-30,10
BP2559571,Valentin,Arnaud,1964-05-12,11
DH1409951,Noé,Olivier,1987-09-26,11
CE4575534,Gabriel,Durand,1979-04-03,12
UG2023573,Adam,Giraud,2010-12-21,13
SR3205465,Ayden,Rey,1986-11-07,13
FE0375314,Ayden,Clement,1989-08-10,13
AG8783256,Lucie,Petit,2017-05-26,13
