iban,code_client,valorisation_en_cents
FR1030004118991588404035700,LQ6772634,31791
FR5430004036947038656933700,LQ6772634,9654
FR4830004211795937199760101,FV8108828,74703
FR4130004639378593080015700,LL9385575,33732
FR9630004523631368505889900,LL9385575,35193
FR1330004851311686630677700,PA9995235,-200903
FR7030004893748946806994501,KY4714649,21748
FR6930004548463443918198500,KY4714649,17507
FR1330004830251900165181401,KY4714649,113659
FR0730004108772933190726900,YT0549642,319241
FR8730004567285456200346501,YT0549642,-9781
FR7030004094586013098495701,CM6915224,49235
FR0930004858270479165690200,CM6915224,35357
FR7930004809137124993680300,HD3846922,-252467
FR7030004893743371126346401,MV4381994,-1037
FR1330004443511251144009801,CK3544746,557287
FR7530004964106067360255101,MJ5083835,48176
FR2230004916335035562662601,MJ5083835,497691
FR9030004566779894398137600,FL7198398,92123
FR9030004551752545774212300,FL7198398,211539
FR8730004625915147191528101,AC2446509,-363547
FR9830004359732760867539200,AC2446509,125389
FR1530004015132401153060701,AC2446509,40880
FR2030004675326714471384501,HY2254994,134295
FR0930004412670550816525401,CM0741834,40946
FR4830004028706600500747201,CM0741834,40919
FR0830004072225737280515500,PV2125082,14442
FR3930004121368629276768701,DC6749715,-37121
FR9630004728770522220322200,QN1836692,-258920
FR1430004243324885219616600,QN1836692,11132
FR7130004898538943046421101,JI6286588,10409
FR3530004209103042162339801,JI6286588,-118026
FR3730004249692837054263600,TY7677476,32539
FR3530004209104393883373101,TY7677476,146030
FR4630004553937044419673601,ZH1408676,6632
FR0730004150148942200705800,YX3338054,-12612
FR1330004443517834188875200,NP8111546,272464
FR0430004196560890236715401,CB4664893,74629
FR1230004821923937166148901,CB4664893,-43148
FR8830004443004772575583800,CB4664893,-315522
FR7330004866606825519422501,AD4084036,163255
FR0230004773806602753007101,IB8982662,-37381
FR2530004434020119595584700,SW0472529,143055
FR6730004992477671029973100,AO8142374,42894
FR2230004916334720159616600,CY4174457,45765
FR9030004132614706283983901,CY4174457,129187
FR5430004302373453949402800,SP9073814,-96867
FR2230004916334632080121101,SP9073814,15440
FR7930004809134009635943001,SD1009656,371379
FR4030004523514809145013401,SD1009656,-54404
FR1330004162205403513563200,SD1009656,-303213
FR2030004675320984193884700,SD1009656,33007
FR8830004949596730348670600,GR7861131,-84865
FR0930004858273381493835301,GR7861131,473135
FR7730004733898569655843101,GR7861131,-57913
FR6930004681619936375382601,GR7861131,-333273
FR0330004307740799834359801,GR7861131,110708
FR7330004866606651927148900,RT7536242,38366
FR7030004094581068379532900,RT7536242,98683
